scientific_name,common_name,family,height (feet),height_min,height_max,spread (feet),spread_min,spread_max,type,bloom_time,bloom_start,bloom_end,maintenance,sun,sun_max,sun_min,water,zone,zone_min,zone_max,bloom_desc,native_range
Abelia chinensis,Chinese Abelia,Caprifoliaceae,5.00 to 8.00,5.0,8.0,3.00 to 5.00,3.0,5.0,Deciduous shrub,July to September,July,September,Low,Full sun to part shade,full sun,part shade,Medium,7 to 9,7,9,White, China
Abelia 'Edward Goucher',Abelia,Caprifoliaceae,3.00 to 5.00,3.0,5.0,3.00 to 5.00,3.0,5.0,Deciduous shrub,May to September,May,September,Low,Full sun to part shade,full sun,part shade,Medium,6 to 9,6,9,Lavender - pink,
Abelia × grandiflora,Glossy Abelia,Caprifoliaceae,3.00 to 6.00,3.0,6.0,3.00 to 6.00,3.0,6.0,Deciduous shrub,May to September,May,September,Low,Full sun to part shade,full sun,part shade,Medium,5 to 9,5,9,White/flushed pink, origin unknown
Abelia × grandiflora 'Hopleys' MISS LEMON,Glossy Abelia,Caprifoliaceae,3.00 to 4.00,3.0,4.0,3.00 to 4.00,3.0,4.0,Deciduous shrub,May to September,May,September,Low,Full sun to part shade,full sun,part shade,Medium,6 to 9,6,9,Light pink to white or lilac,
Abelia × grandiflora 'Kaleidoscope',Glossy Abelia,Caprifoliaceae,2.00 to 2.50,2.0,2.5,3.00 to 4.00,3.0,4.0,Deciduous shrub,May to September,May,September,Low,Full sun to part shade,full sun,part shade,Medium,5 to 9,5,9,White,
Abelia × grandiflora 'MINDUO1' SUNNY ANNIVERSARY,Glossy Abelia,Caprifoliaceae,2.00 to 4.00,2.0,4.0,3.00 to 4.00,3.0,4.0,Deciduous shrub,July to September,July,September,Medium,Full sun to part shade,full sun,part shade,Medium,6 to 8,6,8,Pink with yellow,
Abelia × grandiflora 'Minipan' GOLDEN ANNIVERSARY,Glossy Abelia,Caprifoliaceae,1.00 to 3.00,1.0,3.0,1.00 to 3.00,1.0,3.0,Deciduous shrub,May to September,May,September,Low,Full sun to part shade,full sun,part shade,Medium,6 to 9,6,9,White,
Abelia × grandiflora 'Panache' SILVER ANNIVERSARY,Glossy Abelia,Caprifoliaceae,1.00 to 3.00,1.0,3.0,1.00 to 3.00,1.0,3.0,Deciduous shrub,May to September,May,September,Low,Full sun to part shade,full sun,part shade,Medium,6 to 9,6,9,White,
Abelia × grandiflora 'Sherwoodii',Glossy Abelia,Caprifoliaceae,3.00 to 4.00,3.0,4.0,3.00 to 4.00,3.0,4.0,Deciduous shrub,May to September,May,September,Low,Full sun to part shade,full sun,part shade,Medium,5 to 9,5,9,White - flushed pink,
Abelia mosanensis 'SMNAMDS' SWEET EMOTION,Fragrant Abelia,Caprifoliaceae,5.00 to 6.00,5.0,6.0,5.00 to 6.00,5.0,6.0,Deciduous shrub,May to June,May,June,Low,Full sun to part shade,full sun,part shade,Medium,4 to 8,4,8,Red-pink and white bicolor,
Abelia 'Rose Creek',Abelia,Caprifoliaceae,2.00 to 3.00,2.0,3.0,3.00 to 4.00,3.0,4.0,Deciduous shrub,May to September,May,September,Low,Full sun to part shade,full sun,part shade,Medium,6 to 9,6,9,White,
